Feature Carried Condition Correlation:
90IX: Total: 119, Poor: 15, Poor %: 12.61%
417     51023073: Total: 1, Poor: 0, Poor %: 0.00%
86I 17 51123054: Total: 1, Poor: 0, Poor %: 0.00%
86I 17 51123062: Total: 1, Poor: 0, Poor %: 0.00%
86I 86 51123051: Total: 1, Poor: 0, Poor %: 0.00%
86I 86 51123067: Total: 1, Poor: 0, Poor %: 0.00%
BAILEY DRIVE: Total: 1, Poor: 0, Poor %: 0.00%
IRVINE MILLS RD: Total: 1, Poor: 0, Poor %: 0.00%
NINE MILE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
NO.NINE MILE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
PARK SIDE DRIVE: Total: 1, Poor: 0, Poor %: 0.00%
PARKSIDE DRIVE: Total: 1, Poor: 0, Poor %: 0.00%
280 280 51011052: Total: 1, Poor: 1, Poor %: 100.00%
280 280 51011074: Total: 1, Poor: 0, Poor %: 0.00%
280 280 51011116: Total: 1, Poor: 0, Poor %: 0.00%
394  17 51021108: Total: 1, Poor: 0, Poor %: 0.00%
394  17 51021119: Total: 1, Poor: 0, Poor %: 0.00%
86I 17 51121111: Total: 1, Poor: 0, Poor %: 0.00%
951T95T51011012: Total: 1, Poor: 1, Poor %: 100.00%
ALLEGANY ST PRK 3: Total: 1, Poor: 0, Poor %: 0.00%
CAIN HOLLOW ROAD: Total: 1, Poor: 1, Poor %: 100.00%
CAMP SIX ROAD: Total: 1, Poor: 1, Poor %: 100.00%
HOTCHKISS HOLL RD: Total: 1, Poor: 0, Poor %: 0.00%
LEBANON ROAD: Total: 1, Poor: 0, Poor %: 0.00%
OLDRO HILL RD: Total: 1, Poor: 0, Poor %: 0.00%
UNDERWOOD CORS RD: Total: 1, Poor: 0, Poor %: 0.00%
WOLF RUN ROAD: Total: 1, Poor: 0, Poor %: 0.00%
241 241 51011031: Total: 1, Poor: 0, Poor %: 0.00%
241 241 51011039: Total: 1, Poor: 0, Poor %: 0.00%
62  62 51021002: Total: 1, Poor: 0, Poor %: 0.00%
62  62 51021003: Total: 1, Poor: 0, Poor %: 0.00%
62  62 51021006: Total: 1, Poor: 0, Poor %: 0.00%
62  62 51021018: Total: 1, Poor: 0, Poor %: 0.00%
ELM CREEK ROAD: Total: 1, Poor: 0, Poor %: 0.00%
GOODWINS LANDING: Total: 1, Poor: 0, Poor %: 0.00%
POPE ROAD: Total: 1, Poor: 1, Poor %: 100.00%
STODDARD ROAD: Total: 1, Poor: 0, Poor %: 0.00%
62  62 51021103: Total: 1, Poor: 0, Poor %: 0.00%
62   62 51021128: Total: 1, Poor: 0, Poor %: 0.00%
VAN ETTEN ROAD: Total: 1, Poor: 0, Poor %: 0.00%
WOLF ROAD: Total: 1, Poor: 0, Poor %: 0.00%
16  16 51013305: Total: 1, Poor: 0, Poor %: 0.00%
COLVIN ROAD: Total: 1, Poor: 0, Poor %: 0.00%
CONNOISARAULEY RD: Total: 1, Poor: 0, Poor %: 0.00%
EAST FLATS ROAD: Total: 1, Poor: 0, Poor %: 0.00%
MEYER HILL ROAD: Total: 1, Poor: 0, Poor %: 0.00%
ROHR ROAD: Total: 1, Poor: 0, Poor %: 0.00%
UTLEY ROAD: Total: 1, Poor: 0, Poor %: 0.00%
219 219 51013083: Total: 1, Poor: 0, Poor %: 0.00%
219 219 51013101: Total: 1, Poor: 1, Poor %: 100.00%
219 219 51013105: Total: 1, Poor: 0, Poor %: 0.00%
240 240 51021035: Total: 1, Poor: 0, Poor %: 0.00%
242 242 51011205: Total: 1, Poor: 0, Poor %: 0.00%
242 242 51011208: Total: 1, Poor: 0, Poor %: 0.00%
242 242 51011215: Total: 1, Poor: 0, Poor %: 0.00%
242 242 51011225: Total: 1, Poor: 0, Poor %: 0.00%
242  242 51011236: Total: 1, Poor: 0, Poor %: 0.00%
BEAVER MEADOWS RD: Total: 1, Poor: 0, Poor %: 0.00%
BRYANT HILL ROAD: Total: 1, Poor: 0, Poor %: 0.00%
KRUSE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
LINDBERG ROAD: Total: 1, Poor: 0, Poor %: 0.00%
QUACKENBUSH ROAD: Total: 1, Poor: 0, Poor %: 0.00%
219 219 51013087: Total: 1, Poor: 0, Poor %: 0.00%
MONROE STREET: Total: 1, Poor: 0, Poor %: 0.00%
16  16 51013212: Total: 1, Poor: 0, Poor %: 0.00%
16  16 51013213: Total: 1, Poor: 0, Poor %: 0.00%
98   98 51011161: Total: 1, Poor: 0, Poor %: 0.00%
98   98 51011187: Total: 1, Poor: 0, Poor %: 0.00%
BLUE STREET: Total: 1, Poor: 0, Poor %: 0.00%
KINGSBURY HILL RD: Total: 1, Poor: 0, Poor %: 0.00%
OLDER HILL ROAD: Total: 1, Poor: 0, Poor %: 0.00%
242 242 51011250: Total: 1, Poor: 0, Poor %: 0.00%
242 242 51011254: Total: 1, Poor: 0, Poor %: 0.00%
98  98 51011063: Total: 1, Poor: 0, Poor %: 0.00%
98  98 51011105: Total: 1, Poor: 0, Poor %: 0.00%
98  98 51011123: Total: 1, Poor: 0, Poor %: 0.00%
98  98 51011125: Total: 1, Poor: 0, Poor %: 0.00%
BAKERSTAND ROAD: Total: 1, Poor: 0, Poor %: 0.00%
BOYCE HILL ROAD: Total: 1, Poor: 0, Poor %: 0.00%
CADIZ ROAD: Total: 1, Poor: 0, Poor %: 0.00%
COAL CHUTES ROAD: Total: 1, Poor: 0, Poor %: 0.00%
HARDY CORNERS RD: Total: 1, Poor: 0, Poor %: 0.00%
MORGAN HOLLOW RD.: Total: 1, Poor: 0, Poor %: 0.00%
PIERCE HILL ROAD: Total: 1, Poor: 0, Poor %: 0.00%
16  16 51013182: Total: 1, Poor: 0, Poor %: 0.00%
16  16 51013193: Total: 1, Poor: 1, Poor %: 100.00%
98   98 51011255: Total: 1, Poor: 0, Poor %: 0.00%
98  98 51011293: Total: 1, Poor: 0, Poor %: 0.00%
BRAY ROAD: Total: 1, Poor: 0, Poor %: 0.00%
GALEN HILL ROAD: Total: 1, Poor: 1, Poor %: 100.00%
PIGEON HILL ROAD: Total: 1, Poor: 0, Poor %: 0.00%
SPARKS ROAD: Total: 1, Poor: 0, Poor %: 0.00%
WITT ROAD: Total: 1, Poor: 1, Poor %: 100.00%
39  39 51021063: Total: 1, Poor: 0, Poor %: 0.00%
62  62 51021196: Total: 1, Poor: 0, Poor %: 0.00%
62  62 51021200: Total: 1, Poor: 0, Poor %: 0.00%
JOHNSON STREET: Total: 1, Poor: 0, Poor %: 0.00%
S. CHAPEL STREET: Total: 1, Poor: 0, Poor %: 0.00%
219 219 51012000: Total: 1, Poor: 0, Poor %: 0.00%
219 219 51013002: Total: 1, Poor: 0, Poor %: 0.00%
219 219 51013011: Total: 1, Poor: 0, Poor %: 0.00%
219 219 51013022: Total: 1, Poor: 0, Poor %: 0.00%
219 219 51013030: Total: 1, Poor: 0, Poor %: 0.00%
219 219 51013044: Total: 1, Poor: 0, Poor %: 0.00%
BREWER CROSS ROAD: Total: 1, Poor: 0, Poor %: 0.00%
HUNGRY HOLLOW RD: Total: 1, Poor: 0, Poor %: 0.00%
16  16 51013040: Total: 1, Poor: 0, Poor %: 0.00%
16  16 51013052: Total: 1, Poor: 0, Poor %: 0.00%
446 408 51011041: Total: 1, Poor: 0, Poor %: 0.00%
86I  17 51125049: Total: 1, Poor: 0, Poor %: 0.00%
86I 17 51125049: Total: 1, Poor: 0, Poor %: 0.00%
86I 17 51125054: Total: 1, Poor: 1, Poor %: 100.00%
86I    51125054: Total: 1, Poor: 0, Poor %: 0.00%
FLANNIGAN HILL: Total: 1, Poor: 0, Poor %: 0.00%
HEDDON HOLLOW RD: Total: 1, Poor: 1, Poor %: 100.00%
PENNSYLVANIA ROAD: Total: 1, Poor: 0, Poor %: 0.00%
98  98 51011041: Total: 1, Poor: 0, Poor %: 0.00%
CHURCH  ROAD: Total: 1, Poor: 0, Poor %: 0.00%
HOWE HILL ROAD: Total: 1, Poor: 0, Poor %: 0.00%
SUGARTOWN ROAD: Total: 1, Poor: 0, Poor %: 0.00%
16  16 51013079: Total: 1, Poor: 0, Poor %: 0.00%
16  16 51013089: Total: 1, Poor: 0, Poor %: 0.00%
16  16 51013113: Total: 1, Poor: 0, Poor %: 0.00%
16  16 51013114: Total: 1, Poor: 0, Poor %: 0.00%
BAXTER MILL ROAD: Total: 1, Poor: 1, Poor %: 100.00%
FARWELL ROAD: Total: 1, Poor: 0, Poor %: 0.00%
JOHNSON HOLLOW RD: Total: 1, Poor: 0, Poor %: 0.00%
62  62 51021037: Total: 1, Poor: 0, Poor %: 0.00%
ALDERBOTTOM ROAD: Total: 1, Poor: 0, Poor %: 0.00%
DREDGE ROAD: Total: 1, Poor: 1, Poor %: 100.00%
ELDRIDGE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
FROG VALLEY ROAD: Total: 1, Poor: 0, Poor %: 0.00%
MEYERS CORNERS RD: Total: 1, Poor: 0, Poor %: 0.00%
MOHSER HOLLOW RD: Total: 1, Poor: 0, Poor %: 0.00%
TOWN HILL ROAD: Total: 1, Poor: 0, Poor %: 0.00%
XURA SMITH ROAD: Total: 1, Poor: 0, Poor %: 0.00%
242 242 51011088: Total: 1, Poor: 0, Poor %: 0.00%
242 242 51011120: Total: 1, Poor: 0, Poor %: 0.00%
353 353 51012031: Total: 1, Poor: 0, Poor %: 0.00%
353 353 51012036: Total: 1, Poor: 0, Poor %: 0.00%
353 353 51012041: Total: 1, Poor: 0, Poor %: 0.00%
WOODWORTH HOLLOW: Total: 1, Poor: 0, Poor %: 0.00%
242 242 51012066: Total: 1, Poor: 0, Poor %: 0.00%
242 353 51012057: Total: 1, Poor: 0, Poor %: 0.00%
N NINTH STREET: Total: 1, Poor: 0, Poor %: 0.00%
16  16 51013222: Total: 1, Poor: 0, Poor %: 0.00%
16  16 51013247: Total: 1, Poor: 0, Poor %: 0.00%
242 242 51011266: Total: 1, Poor: 0, Poor %: 0.00%
BEAMER ROAD: Total: 1, Poor: 0, Poor %: 0.00%
JUNCTION RD: Total: 1, Poor: 0, Poor %: 0.00%
REYNOLDS ROAD: Total: 1, Poor: 0, Poor %: 0.00%
SISSON ROAD: Total: 1, Poor: 0, Poor %: 0.00%
VERY ROAD: Total: 1, Poor: 0, Poor %: 0.00%
JERSEY HOLLOW RD: Total: 1, Poor: 1, Poor %: 100.00%
242 242 51011025: Total: 1, Poor: 0, Poor %: 0.00%
EARL SEATON ROAD: Total: 1, Poor: 0, Poor %: 0.00%
PIGEON VALLEY RD: Total: 1, Poor: 0, Poor %: 0.00%
WHIPPLE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
353 353 51012117: Total: 1, Poor: 0, Poor %: 0.00%
353 353 51012121: Total: 1, Poor: 0, Poor %: 0.00%
353 353 51012129: Total: 1, Poor: 0, Poor %: 0.00%
SCOTT HOLLOW ROAD: Total: 1, Poor: 0, Poor %: 0.00%
SKINNER HOLLOW RD: Total: 1, Poor: 0, Poor %: 0.00%
WAITE HOLLOW ROAD: Total: 1, Poor: 0, Poor %: 0.00%
16  16 51012007: Total: 1, Poor: 0, Poor %: 0.00%
16  16 51012021: Total: 1, Poor: 0, Poor %: 0.00%
16  16 51121D01: Total: 1, Poor: 0, Poor %: 0.00%
86I 17 51124009: Total: 1, Poor: 0, Poor %: 0.00%
86I 17 51124011: Total: 1, Poor: 0, Poor %: 0.00%
RAMP J at EXIT 26: Total: 1, Poor: 0, Poor %: 0.00%
16  16 51013004: Total: 1, Poor: 0, Poor %: 0.00%
16  16 51013007: Total: 1, Poor: 0, Poor %: 0.00%
86I 17 51125007: Total: 1, Poor: 0, Poor %: 0.00%
HASTINGS ROAD: Total: 1, Poor: 0, Poor %: 0.00%
UNION VALLEY ROAD: Total: 1, Poor: 0, Poor %: 0.00%
WINDFALL ROAD: Total: 1, Poor: 0, Poor %: 0.00%
NORTH OTTO ROAD: Total: 1, Poor: 1, Poor %: 100.00%
SCOTT CORNERS RD.: Total: 1, Poor: 0, Poor %: 0.00%
955RX: Total: 1, Poor: 0, Poor %: 0.00%
62  62 51021180: Total: 1, Poor: 0, Poor %: 0.00%
62  62 51021184: Total: 1, Poor: 1, Poor %: 100.00%
FORTY ROAD: Total: 1, Poor: 0, Poor %: 0.00%
305 305 51011017: Total: 1, Poor: 0, Poor %: 0.00%
305 305 51011046: Total: 1, Poor: 0, Poor %: 0.00%
417 417 51015009: Total: 1, Poor: 0, Poor %: 0.00%
417 417 51025062: Total: 1, Poor: 0, Poor %: 0.00%
JOLLYTOWN ROAD: Total: 1, Poor: 0, Poor %: 0.00%
STEAM VALLEY ROAD: Total: 1, Poor: 0, Poor %: 0.00%
YUBADAM ROAD: Total: 1, Poor: 0, Poor %: 0.00%
417  17 51025042: Total: 1, Poor: 0, Poor %: 0.00%
394  17 51021040: Total: 1, Poor: 0, Poor %: 0.00%
394   17 51021045: Total: 1, Poor: 0, Poor %: 0.00%
394  17 51021060: Total: 1, Poor: 0, Poor %: 0.00%
86I 17 51121038: Total: 1, Poor: 0, Poor %: 0.00%
952M952M51011005: Total: 1, Poor: 0, Poor %: 0.00%
ARCHER HILL ROAD: Total: 1, Poor: 0, Poor %: 0.00%
LARKIN ST: Total: 1, Poor: 1, Poor %: 100.00%
86I 17 51121150: Total: 1, Poor: 0, Poor %: 0.00%
86I 17 51121163: Total: 1, Poor: 0, Poor %: 0.00%
ALEG STATE PARK 1: Total: 1, Poor: 0, Poor %: 0.00%
ALLEGANY ST PK 2A: Total: 1, Poor: 0, Poor %: 0.00%
CAMP TEN ROAD: Total: 1, Poor: 0, Poor %: 0.00%
COON RUN ROAD: Total: 1, Poor: 0, Poor %: 0.00%
FRANCE BROOK ROAD: Total: 1, Poor: 0, Poor %: 0.00%
GYPSY ROAD: Total: 1, Poor: 1, Poor %: 100.00%
KAISER ROAD: Total: 1, Poor: 0, Poor %: 0.00%
LOCKTO HOLLOW ROA: Total: 1, Poor: 0, Poor %: 0.00%
STATE PARK RTE 3: Total: 1, Poor: 0, Poor %: 0.00%
SUNFISH ROAD: Total: 1, Poor: 0, Poor %: 0.00%
RAWSON ROAD: Total: 1, Poor: 0, Poor %: 0.00%
353 353 51011994: Total: 1, Poor: 0, Poor %: 0.00%
417  17 51022028: Total: 1, Poor: 0, Poor %: 0.00%
86I 17 51122001: Total: 1, Poor: 0, Poor %: 0.00%
86I 17 51122002: Total: 1, Poor: 0, Poor %: 0.00%
WEST STATE STREET: Total: 1, Poor: 0, Poor %: 0.00%
353 353 51012004: Total: 1, Poor: 0, Poor %: 0.00%
16  16 51013286: Total: 1, Poor: 0, Poor %: 0.00%
16  16 51013314: Total: 1, Poor: 0, Poor %: 0.00%
16  16 51013336: Total: 1, Poor: 0, Poor %: 0.00%
DELEVAN ELTON RD: Total: 1, Poor: 0, Poor %: 0.00%
MCKINSTRY ROAD: Total: 1, Poor: 0, Poor %: 0.00%
WORDEN ROAD: Total: 1, Poor: 0, Poor %: 0.00%
219 219 51011001: Total: 1, Poor: 0, Poor %: 0.00%
County Road 13: Total: 1, Poor: 0, Poor %: 0.00%
34  34 31052014: Total: 1, Poor: 0, Poor %: 0.00%
38  38 31042023: Total: 1, Poor: 0, Poor %: 0.00%
5   5 31072114: Total: 1, Poor: 0, Poor %: 0.00%
5   5 31072115: Total: 1, Poor: 0, Poor %: 0.00%
AURELIUS AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
CANOGA STREET: Total: 1, Poor: 0, Poor %: 0.00%
MCINTOSH DRIVE: Total: 1, Poor: 0, Poor %: 0.00%
MILLER STREET: Total: 1, Poor: 0, Poor %: 0.00%
SCHWARTZ DRIVE: Total: 1, Poor: 0, Poor %: 0.00%
WRIGHT AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
326 326 31013000: Total: 1, Poor: 0, Poor %: 0.00%
5   5 31071054: Total: 1, Poor: 0, Poor %: 0.00%
5   5 31071079: Total: 1, Poor: 0, Poor %: 0.00%
CLARK STREET ROAD: Total: 1, Poor: 0, Poor %: 0.00%
90  90 31021273: Total: 1, Poor: 0, Poor %: 0.00%
31  31 31081074: Total: 1, Poor: 0, Poor %: 0.00%
31  31 31081091: Total: 1, Poor: 0, Poor %: 0.00%
34  34 31053074: Total: 1, Poor: 0, Poor %: 0.00%
34  34 31053083: Total: 1, Poor: 0, Poor %: 0.00%
BONTA BRIDGE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
E. BRUTUS ST.ROAD: Total: 1, Poor: 0, Poor %: 0.00%
EXIT 40 RAMP: Total: 1, Poor: 0, Poor %: 0.00%
NY - 34: Total: 1, Poor: 1, Poor %: 100.00%
OAKLAND RD CR 13B: Total: 1, Poor: 0, Poor %: 0.00%
RIVER FOREST ROAD: Total: 1, Poor: 0, Poor %: 0.00%
SHEPHERD ROAD: Total: 1, Poor: 0, Poor %: 0.00%
TOWN LINE RD: Total: 1, Poor: 0, Poor %: 0.00%
DITMAR ROAD: Total: 1, Poor: 0, Poor %: 0.00%
JOROLEMON ROAD: Total: 1, Poor: 0, Poor %: 0.00%
SHORT CUT ROAD: Total: 1, Poor: 0, Poor %: 0.00%
Spring Lake Rd: Total: 1, Poor: 0, Poor %: 0.00%
34B 34B31021157: Total: 1, Poor: 0, Poor %: 0.00%
437 437 31011003: Total: 1, Poor: 0, Poor %: 0.00%
34  34 31051049: Total: 1, Poor: 0, Poor %: 0.00%
90  90 31021160: Total: 1, Poor: 0, Poor %: 0.00%
90  90 31021177: Total: 1, Poor: 0, Poor %: 0.00%
BLAKLEY ROAD: Total: 1, Poor: 0, Poor %: 0.00%
INDIAN FIELD ROAD: Total: 1, Poor: 0, Poor %: 0.00%
WEEKS ROAD: Total: 1, Poor: 0, Poor %: 0.00%
LEVANNA ROAD: Total: 1, Poor: 0, Poor %: 0.00%
38  38 31041019: Total: 1, Poor: 0, Poor %: 0.00%
38  38 31041030: Total: 1, Poor: 0, Poor %: 0.00%
38  38 31041043: Total: 1, Poor: 0, Poor %: 0.00%
38  38 31041335: Total: 1, Poor: 0, Poor %: 0.00%
90  90 31021087: Total: 1, Poor: 0, Poor %: 0.00%
BIRD CEMETERY RD: Total: 1, Poor: 1, Poor %: 100.00%
CAT PATH ROAD: Total: 1, Poor: 0, Poor %: 0.00%
ERRON HILL ROAD: Total: 1, Poor: 0, Poor %: 0.00%
OLD GENOA ROAD: Total: 1, Poor: 1, Poor %: 100.00%
WEST GROTON ROAD: Total: 1, Poor: 0, Poor %: 0.00%
38  38 31043079: Total: 1, Poor: 0, Poor %: 0.00%
38  38 31043083: Total: 1, Poor: 0, Poor %: 0.00%
38  38 31043097: Total: 1, Poor: 1, Poor %: 100.00%
Haiti Rd: Total: 1, Poor: 0, Poor %: 0.00%
HAYDEN ROAD: Total: 1, Poor: 0, Poor %: 0.00%
N MAIN ST CR 56: Total: 1, Poor: 0, Poor %: 0.00%
N Y CENTRAL ROAD: Total: 1, Poor: 0, Poor %: 0.00%
31 3131081014: Total: 1, Poor: 0, Poor %: 0.00%
31  31 31081014: Total: 1, Poor: 0, Poor %: 0.00%
FOSTERVILLE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
LOOP ROAD: Total: 1, Poor: 1, Poor %: 100.00%
MENTZ CHURCH ROAD: Total: 1, Poor: 1, Poor %: 100.00%
NYS ROUTE 90: Total: 1, Poor: 1, Poor %: 100.00%
38A 38A31011009: Total: 1, Poor: 0, Poor %: 0.00%
COUNTY ROAD 43C: Total: 1, Poor: 1, Poor %: 100.00%
FILLMORE GLEN PARK RD: Total: 1, Poor: 0, Poor %: 0.00%
38  38 31041069: Total: 1, Poor: 0, Poor %: 0.00%
38  38 31041074: Total: 1, Poor: 0, Poor %: 0.00%
38  38 31041083: Total: 1, Poor: 0, Poor %: 0.00%
38A 38A31011003: Total: 1, Poor: 0, Poor %: 0.00%
GROVE STREET: Total: 1, Poor: 0, Poor %: 0.00%
38A 38A31031031: Total: 1, Poor: 0, Poor %: 0.00%
38A 38A31031060: Total: 1, Poor: 0, Poor %: 0.00%
COUNTY ROAD 156: Total: 1, Poor: 0, Poor %: 0.00%
COUNTY ROAD 72B: Total: 1, Poor: 0, Poor %: 0.00%
TOWN HALL ROAD: Total: 1, Poor: 1, Poor %: 100.00%
31  31 31081049: Total: 1, Poor: 0, Poor %: 0.00%
38 3831043067: Total: 1, Poor: 0, Poor %: 0.00%
34B 34B31021137: Total: 1, Poor: 0, Poor %: 0.00%
DRESSERVILLE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
MUTTON HILL ROAD: Total: 1, Poor: 0, Poor %: 0.00%
326 326 31011022: Total: 1, Poor: 0, Poor %: 0.00%
90  90 31021382: Total: 1, Poor: 0, Poor %: 0.00%
CONNORS ROAD: Total: 1, Poor: 1, Poor %: 100.00%
COUNTY ROAD 4B: Total: 1, Poor: 0, Poor %: 0.00%
WALDRON ROAD: Total: 1, Poor: 0, Poor %: 0.00%
104 104 31051059: Total: 1, Poor: 0, Poor %: 0.00%
104A104A31021045: Total: 1, Poor: 0, Poor %: 0.00%
104A104A31021069: Total: 1, Poor: 1, Poor %: 100.00%
CRAINE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
ONIONVILLE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
SCHOOLCRAFT ROAD: Total: 1, Poor: 1, Poor %: 100.00%
SUTTERBY ROAD: Total: 1, Poor: 1, Poor %: 100.00%
41A 31021007: Total: 1, Poor: 0, Poor %: 0.00%
90  90 31021006: Total: 1, Poor: 0, Poor %: 0.00%
90  90 31021018: Total: 1, Poor: 0, Poor %: 0.00%
CREECH ROAD: Total: 1, Poor: 0, Poor %: 0.00%
COUNTY ROAD 10B: Total: 1, Poor: 0, Poor %: 0.00%
COUNTY ROAD 114B: Total: 1, Poor: 0, Poor %: 0.00%
HIGHBRIDGE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
KERNAN ROAD: Total: 1, Poor: 1, Poor %: 100.00%
MANROW ROAD: Total: 1, Poor: 1, Poor %: 100.00%
NUGENT ROAD: Total: 1, Poor: 0, Poor %: 0.00%
COUNTY ROAD 45A: Total: 1, Poor: 1, Poor %: 100.00%
POPLAR RIDGE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
TILE KILL ROAD: Total: 1, Poor: 1, Poor %: 100.00%
370  370 31021057: Total: 1, Poor: 0, Poor %: 0.00%
POPLE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
STRAIGHT ROAD: Total: 1, Poor: 0, Poor %: 0.00%
394  17J52012047: Total: 1, Poor: 0, Poor %: 0.00%
394  17J52012053: Total: 1, Poor: 0, Poor %: 0.00%
952P952P52011020: Total: 1, Poor: 1, Poor %: 100.00%
952P952P52011023: Total: 1, Poor: 0, Poor %: 0.00%
952P952P52011033: Total: 1, Poor: 0, Poor %: 0.00%
952P952P52011059: Total: 1, Poor: 1, Poor %: 100.00%
BUSTI-STILLWATER: Total: 1, Poor: 0, Poor %: 0.00%
LAWSON ROAD: Total: 1, Poor: 0, Poor %: 0.00%
ORR STREET: Total: 1, Poor: 0, Poor %: 0.00%
SANBURY ROAD: Total: 1, Poor: 0, Poor %: 0.00%
SHADYSIDE ROAD: Total: 1, Poor: 0, Poor %: 0.00%
S MAIN STREET EXT: Total: 1, Poor: 0, Poor %: 0.00%
SO MAIN ST EXT: Total: 1, Poor: 0, Poor %: 0.00%
62  60 52011006: Total: 1, Poor: 0, Poor %: 0.00%
62  62 52011075: Total: 1, Poor: 1, Poor %: 100.00%
COUNTY ROAD 318: Total: 1, Poor: 0, Poor %: 0.00%
CR34FREW RUN RD: Total: 1, Poor: 0, Poor %: 0.00%
CR 55/CR 317: Total: 1, Poor: 0, Poor %: 0.00%
FREW RUN ROAD: Total: 1, Poor: 1, Poor %: 100.00%
IVORY ROAD: Total: 1, Poor: 0, Poor %: 0.00%
PARKWAY DRIVE: Total: 1, Poor: 0, Poor %: 0.00%
SOUTH PEARL ST: Total: 1, Poor: 0, Poor %: 0.00%
DUNHAM AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
60  60 52013132: Total: 1, Poor: 0, Poor %: 0.00%
60 60  52013155: Total: 1, Poor: 0, Poor %: 0.00%
BARNUM ROAD: Total: 1, Poor: 0, Poor %: 0.00%
CASSADAGA ROAD: Total: 1, Poor: 0, Poor %: 0.00%
CR 75: Total: 1, Poor: 0, Poor %: 0.00%
HOOKER ROAD: Total: 1, Poor: 0, Poor %: 0.00%
394  17J52012132: Total: 1, Poor: 0, Poor %: 0.00%
394   17J52012165: Total: 1, Poor: 0, Poor %: 0.00%
430  17 52011098: Total: 1, Poor: 0, Poor %: 0.00%
430  17 52011126: Total: 1, Poor: 1, Poor %: 100.00%
430 430 52011164: Total: 1, Poor: 0, Poor %: 0.00%
CENTRALIA ROAD: Total: 1, Poor: 0, Poor %: 0.00%
COUNTY ROAD 314: Total: 1, Poor: 0, Poor %: 0.00%
ELM  FLAT ROAD: Total: 1, Poor: 0, Poor %: 0.00%
HEWES ROAD: Total: 1, Poor: 0, Poor %: 0.00%
MT. PLEASANT ROAD: Total: 1, Poor: 0, Poor %: 0.00%
NETTLE HILL ROAD: Total: 1, Poor: 1, Poor %: 100.00%
WEBBER ROAD: Total: 1, Poor: 0, Poor %: 0.00%
83  83 52011071: Total: 1, Poor: 0, Poor %: 0.00%
CHERRY CK-LEON RD: Total: 1, Poor: 0, Poor %: 0.00%
CROSS ROAD: Total: 1, Poor: 0, Poor %: 0.00%
83  83 52011047: Total: 1, Poor: 0, Poor %: 0.00%
CHERRY CREEK RD: Total: 1, Poor: 0, Poor %: 0.00%
474  74 52011069: Total: 1, Poor: 0, Poor %: 0.00%
76  76 52011003: Total: 1, Poor: 0, Poor %: 0.00%
BROWNELL ROAD: Total: 1, Poor: 0, Poor %: 0.00%
EININK ROAD: Total: 1, Poor: 0, Poor %: 0.00%
KNOWLTON RD: Total: 1, Poor: 0, Poor %: 0.00%
KNOWLTON ROAD: Total: 1, Poor: 0, Poor %: 0.00%
RUNDALL ROAD: Total: 1, Poor: 0, Poor %: 0.00%
5   5 52011258: Total: 1, Poor: 0, Poor %: 0.00%
60  60 52013255: Total: 1, Poor: 0, Poor %: 0.00%
90IX EXIT 59 RAMP DUNKIRK: Total: 1, Poor: 0, Poor %: 0.00%
BRIGHAM ROAD: Total: 1, Poor: 0, Poor %: 0.00%
Temple Street: Total: 1, Poor: 0, Poor %: 0.00%
WEST WILLOW ROAD: Total: 1, Poor: 0, Poor %: 0.00%
17  17 52011286: Total: 1, Poor: 0, Poor %: 0.00%
17  17 52052A01: Total: 1, Poor: 0, Poor %: 0.00%
17  17 52111214: Total: 1, Poor: 0, Poor %: 0.00%
430  17 52011197: Total: 1, Poor: 0, Poor %: 0.00%
430  1752011234: Total: 1, Poor: 0, Poor %: 0.00%
430  17 52111154: Total: 1, Poor: 0, Poor %: 0.00%
430 430 52011219: Total: 1, Poor: 0, Poor %: 0.00%
86I 17 52052A01: Total: 1, Poor: 0, Poor %: 0.00%
86I 17 52111102: Total: 1, Poor: 0, Poor %: 0.00%
86I 17 52111201: Total: 1, Poor: 0, Poor %: 0.00%
86I 17 52111205: Total: 1, Poor: 0, Poor %: 0.00%
86I 17 52111251: Total: 1, Poor: 1, Poor %: 100.00%
86I 17 52111252: Total: 1, Poor: 0, Poor %: 0.00%
954J 17 52011285: Total: 1, Poor: 0, Poor %: 0.00%
BELLVIEW ROAD: Total: 1, Poor: 0, Poor %: 0.00%
BEMUS-ELLERY ROAD: Total: 1, Poor: 0, Poor %: 0.00%
CHAUTAUQUA AVENUE: Total: 1, Poor: 0, Poor %: 0.00%
MAPLE SPG/E CT RD: Total: 1, Poor: 0, Poor %: 0.00%
